2026-04-24 16:49:48,198 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,198 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,199 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,199 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,230 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,230 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,231 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,231 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,262 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,263 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,263 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,263 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,294 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,295 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,295 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,295 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,326 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,326 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,327 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,327 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,366 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,367 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,367 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
